Reporter,Element,Year,Item,Afghanistan,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Belize,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burundi,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Unspecified,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe,,,
Fiji,Import Quantity,2009,Fruit Fresh Nes,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.01638E-07
Finland,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,28,,,,,21,,,101,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,257,,,3,,,,3,,,,,,,,,,,,,,,,,,,,805,0.000484319
France,Import Quantity,2009,Fruit Fresh Nes,,,,,,73,,,"1,307.00",,,,52,,,,,68,1,,11,42,,,124,4,,,,,,,,8,48,,7,,34,,,,,,,,,,487,270,,,,,,,,,,2,21,18,,757,"2,800.00",,,,,67,,,,,,,22,"5,581.00",,186,,,,,138,11,,702,,,"3,104.00",,,,,,,,313,,13,76,,,,,,,,,,,4,2,,8,,,450,"13,407.00",,,,6,,,"1,197.00",,,448,7,,,2,"1,128.00",,121,,,,,81,,,1,,33209,0.019979809
French Polynesia,Import Quantity,2009,Fruit Fresh Nes,,,,,86,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,117,7.03917E-05
Gambia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.01638E-07
Georgia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,576,0.000346544
Germany,Import Quantity,2009,Fruit Fresh Nes,0,,,,,"4,741.00",,0,643,,,,22,,,,,3,0,,,20,,,"1,127.00",,,0,,,,,,,149,,22,17,62,,,,,,,"4,914.00",,,,35,41,,,,,,,"3,893.00",,73,4,106,,52,"1,329.00",,0,7,,17,,,,2,,,0,98,,160,,,,,,2,,,,,"19,427.00",,,,,0,0,,23,1,97,,,0,,61,,,,,,,,,,,0,3,67,"15,130.00",3,,,0,,,360,,,12,480,20,,,44,,26,,,,,287,,,16,,53596,0.032245411
Ghana,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,11,6.61802E-06
Greece,Import Quantity,2009,Fruit Fresh Nes,,17,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,113,,16,47,,,,,,,,,,,,,,,347,459,,,,,,,,,,,,,,,,,,,,,,,,,,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,0,4,,,766,0,,,,,,,,,,,,,,,2528,0.001520942
Grenada,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,3.00819E-06
Guatemala,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,11,,,,13,,,57,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,872,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1018,0.000612468
Honduras,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,017.00",,,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,1513,0.000910279
Hungary,Import Quantity,2009,Fruit Fresh Nes,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,85,,,,,,,1,,,,785,,,,,,,,,,,,,,,,1274,0.000766487
Iceland,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,0,,,,,,,,0,,,,1,,,,0,,,,,,,,0,0,1,,,,,,,0,,,0,,,,,,,,0,,,3,,0,,1,,,,,,1,,,,,,,,0,,1,,,,,0,,,0,,,1,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,1,,,0,0,,,1,,,0,0,,,,,,3,,,,0,1,,0,1,,16,9.62621E-06
India,Import Quantity,2009,Fruit Fresh Nes,"1,258.00",,,,,,,,,,,,,,,,,,1,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,9,,,,,,,496,,,,4,,,,,,10,1,,,,,,,,,1815,0.001091974
Indonesia,Import Quantity,2009,Fruit Fresh Nes,,,,,11,,,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,"1,338.00",,,,,,,,,,48,,,,,,,,,,,,,,4,,,,,,,,,,,,60,,,0,18,,,,,,,"99,416.00",,,19,,,,,,,39,,,,,"4,774.00",,,,,106058,0.063808563
Ireland,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,,,31,,,,,,,,,,,1,,,,,120,,,,,0,,,,,,,,,,,,,,,0,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2,085.00",,,,,,,3,,,,,,,,"1,903.00",,,0,,,,,,,,,5606,0.003372785
Italy,Import Quantity,2009,Fruit Fresh Nes,,,,,,14,,0,83,,,,1,,2,,,,,,45,30,,,48,,,,,,,,,,0,,,,75,,,,,,,"2,867.00",,,549,219,,,4,,,,,,,33,4,78,,"4,829.00",,,,,,1,,,,,,,,"5,629.00",,6,,,,,32,2,,,,,852,,,,,,,,2,,,1,,,,,,,,,,,,,,,,335,38,"13,668.00",37,,,,,,116,,,111,29,,,,406,,1,,,,,11,,,,,30158,0.01814421
Jamaica,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0
Japan,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,6,,25,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,109,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,16,,,,,,,249,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,35,,,,,1164,0.000700307
Jordan,Import Quantity,2009,Fruit Fresh Nes,,,,,46,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,23,,,,,,,,,,,,,314,,,,,,,,,,449,,,,,,0,,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,37,9,,,,,849,,1,,,,63,,,,,,,,,,,,,,,,1919,0.001154544
Kazakhstan,Import Quantity,2009,Fruit Fresh Nes,,,,,,,136,,,,,,,,,,,,,,9,194,,,1,,,,,,,,,,,,,,21,,,,,,,,,1,,,,,,,,,,,,0,,4,,4,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,43,0,,,,33,,,,,,,,,62,,0,,,,,512,0.000308039
Kenya,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,46,,,,,,,1,,,,,,,,0,170,,,,,,,,,,,292,0.000175678
Kiribati,Import Quantity,2009,Fruit Fresh Nes,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.40655E-06
Latvia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,40,,,,0,,,,24,,,,,,,,,,,30,,,,,20,,,,,,,,,,,181,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,254.00",,,,,,,,,,,256,,,,,,,,,,,,,,,,2214,0.001332027
Lebanon,Import Quantity,2009,Fruit Fresh Nes,,,0,,4,,,,0,,,,0,,,,,,,,1,,,,1,,,,,,,,,,,,,0,5,,,,,,,0,,,0,0,,,,,,,,,,0,0,,,,,,,0,,0,,,,39,,,,0,,1,,,,,,0,,,,,3,,,,,,,,0,,,0,,,1,,,,,,,,,,,,,,9,11,0,,,,556,,2,,,,,,,,,0,0,,0,,,1,1,0,0,,635,0.00038204
Lithuania,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,71,,,,,,84,,,,,,,,,,,,,,,,,,,,1,,,,807,,110,,,,,13,,,,,,,,,,,,,,,,,,6,36,,,,,,,,45,,,,,,,,,,,,,,,,,,"1,370.00",,,,,,,,,,414,,,,,,0,,,,,,,,,,,1,,"2,111.00",,,,,,,,,,,65,,,,,,15,,,,,,,,,,5149,0.003097836
Luxembourg,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,244,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,151,,,22,97,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,563,0.000338722
Madagascar,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.01638E-07
Malawi,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.21147E-06
Malaysia,Import Quantity,2009,Fruit Fresh Nes,,,,,90,,,,,,,,,,,,,,,,,599,3,,0,,,,,,,,,,,,,,39,,,,,,,187,,,,,0,,,,,,,,,172,742,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,861,3,,223,,,,2,,,0,,,,"5,306.00",,22,,,,,,,,,,3,,,56,262,8,,,,,,"24,391.00",,,,6,,,,,,27,,,,,"1,355.00",,,,,34358,0.020671092
Malta,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,52,3.12852E-05
Mauritius,Import Quantity,2009,Fruit Fresh Nes,0,,0,,0,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2.76754E-05
Mexico,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,,,,,,,,,,917,0.000551702
Montenegro,Import Quantity,2009,Fruit Fresh Nes,,0,0,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,0,6,,,,,,,5,,,,0,,,,,16,9.62621E-06
Morocco,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,351,0.000211175
Nepal,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,272.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1272,0.000765284
Netherlands,Import Quantity,2009,Fruit Fresh Nes,,,,,,0,,,928,,,,414,,,,,,,,441,35,6,,"6,664.00",,,170,1,16,61,1,,,81,,13,95,"1,827.00",,,0,,,3,"1,324.00",,,809,13,0,,,,,,,1,,"2,036.00",12,461,0,"4,958.00",901,,0,1,,436,,,0,,,,23,"2,132.00",,"2,080.00",,7,7,,3,51,,202,,,,,70,,0,13,0,2,453,,5,2,0,1,,484,,,,,,,0,,,0,0,4,"4,644.00","7,009.00",,6,63,11,,,"1,238.00",,,,139,0,,,"1,253.00",1,33,,7,,,"1,734.00",,,706,,44091,0.026526838
New Caledonia,Import Quantity,2009,Fruit Fresh Nes,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.01638E-06
New Zealand,Import Quantity,2009,Fruit Fresh Nes,,,,,30,,,,,,,,,,,,,,,,,10,,,,,24,,,,,,,,,,,,,,,,,31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,182,,,,,,,,,,365,0.000219598
Nicaragua,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,0,,,548,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,625,0.000376024
Norway,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,1,,,,4,,,,,,,,8,6,,,39,,,2,,,,,,,0,,0,1,24,,,,,,,1,,,4,,,,,,,,,,,50,25,,,79,1,1,,,,8,,,,,,,,2,,11,0,0,,,0,0,,2,,,16,,0,,,,0,,5,,,0,,,,,,,,,,,0,,,,,,35,351,1,,8,0,,,145,,,,115,,,,0,0,8,,,,,29,,2,12,,996,0.000599232
Oman,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,0,,,,,,,,,,,,274,,,,,,1,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,7,,23,,,,6,,,56,,0,,,,,,,,,,,439,0.000264119
Pakistan,Import Quantity,2009,Fruit Fresh Nes,"3,591.00",,,,0,,,,,,,,11,,,,,,,,2,33,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,,,,,,,,0,,,,,,,,0,,0,12,,,,,,,,,3666,0.002205606
Panama,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,36,2.1659E-05
Paraguay,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,0.00020215
Philippines,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,1,"1,696.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,11,,,,,5,,,,,1883,0.001132885
Poland,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,0,27,,,,,,,,,,,,,,37,,,395,,,,,,,,,3,,,,,,,18,,,,,,,,,,,2,,,,,,,,,,,,,,,"1,433.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,908.00",,,,,,,5,17,,,404,,,,44,,,,,,,2,,,,,6305,0.00379333
Portugal,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,10,,,,93,,,,,,,,,,,,29,,,30,,,,,,,0,,0,,,,0,,,,,890,,,95,,,,,10,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,2,"12,351.00",,,,,,,,,,,,,,,1,,,,,,,,,,,,14089,0.008476483
Republic of Korea,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"5,330.00",,,,,0,,,,,5377,0.00323501
Republic of Moldova,Import Quantity,2009,Fruit Fresh Nes,,0,,,,,,,,,,,2,,,,,,,,1,5,,,1,,,,,,,,,,,,,0,6,,,,,,,0,,69,,,10,,,,,,,,,27,,,,2,1,,,,,0,,,,,,,,0,,1,,,,,,0,,0,,,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,21,,,,,13,,0,33,,,"1,040.00",,,,,,0,,,,,0,,,0,,1236,0.000743625
Romania,Import Quantity,2009,Fruit Fresh Nes,,,,,,0,,,,,,,,,9,,,,,,,,,,,,,,,,,0,,,,,,,39,,,,,,,0,,,0,,48,,,,,,,1,,13,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,58,,,,,,,,,,,,,,,,2,44,,95,,,,,,,0,,,,590,,,,,,,,,,,,,,,,1160,0.000697901
Russian Federation,Import Quantity,2009,Fruit Fresh Nes,15,,43,55,2,,"98,613.00",,5,,,,68,,,,,,,,"1,382.00","1,467.00",,,224,,,2,,0,,,,,,,,10,"14,485.00",,,,,,,5,,,1,,143,,0,,,,,0,,145,5,"1,604.00",,"5,778.00",106,,1,,142,1,"11,932.00",,,,,,,4,,70,,,,0,1,1,,76,,,122,,3,,,,0,0,953,,1,4,,5,,,,,,,,,,0,,,,,185,"8,358.00",,,,0,39,"3,601.00",47,209,,21,"17,263.00",,,,2,,"1,425.00",,0,"50,216.00",,40,,,4,,218884,0.131689016
Rwanda,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,9,5.41475E-06
Saint Vincent and the Grenadines,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,1,,,,,,,,,,1,6.01638E-07
Saudi Arabia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,326.00",,,,11326,0.006814156
Senegal,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,128,7.70097E-05
Serbia,Import Quantity,2009,Fruit Fresh Nes,,20,,,,,,,,,,,,,,,,,,0,0,0,,,1,,,,0,0,,,,,,,,0,86,,,,,,,0,,,,,,,0,,,,,,,2,0,1,,2,6,,,,,0,,,,,,,,0,,1,,,,,0,0,,0,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,0,13,0,,,,,,0,103,,,440,,,,,,0,,,,,1,,,0,,697,0.000419342
Slovakia,Import Quantity,2009,Fruit Fresh Nes,,,,,,15,,,7,,,,,,,,,,,,,,,,,,,,,1,,86,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,76,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,26,,,,,0,,,,,,24,,,,,,,,,,,,,,,,386,0.000232232
Slovenia,Import Quantity,2009,Fruit Fresh Nes,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,18,,,,,,,2,,,2,,,,,,,,,,,,,,,710,725,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,62,,,,,,,,,,,,,,,,1887,0.001135292
South Africa,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0,,,,,,,,,,,0,,,,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,,3,,,,,,,0,53,,178,0.000107092
Spain,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,111,,,,142,,0,,,,,,106,,,,156,,,,,,,,,,8,,1,48,,,,,,,,353,,,77,,,,1,,,,,,,57,0,,,359,82,,,,,,,,,,,,,251,,1,,,,,,,,88,,,455,,,,,,,,236,,,11,,,,,,,,,,,,,,,,1,151,,,,,,,,5,,,,38,,,,14,,,,,,,13,,,,,2765,0.00166353
Sri Lanka,Import Quantity,2009,Fruit Fresh Nes,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,290,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,359,0.000215988
Sweden,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,299,,,,,,,,,,,,,2,,,,,,,,,,,,,251,,,,212,,,,,,,10,,,174,,19,,,,,,,,,,,14,,276,21,,,0,,,,,,4,,,,,,,,,,,,,,,,,"2,338.00",,,,,3,,,,,325,,,,,,47,,,,,,,,,,,,,338,,,,,86,,50,1,,21,195,2,,,94,,0,,,,,,,,,,4782,0.002877035
